,age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
70,49,1,13,4,9,4,0,1,0,2415,55,0,1
71,47,4,9,4,1,4,0,1,0,2415,50,0,1
72,41,6,15,4,3,4,0,1,0,2415,45,0,1
73,55,5,13,4,1,4,0,1,0,2415,50,0,1
74,39,1,14,4,1,5,0,0,0,2415,65,0,1
75,42,1,13,4,1,4,0,1,0,2415,60,0,1
76,41,0,11,4,0,4,0,1,0,2415,12,0,1
77,46,1,14,4,9,4,0,1,0,2415,65,0,1
78,40,1,14,4,1,4,0,1,0,2415,45,0,1
79,32,1,13,4,3,4,0,1,0,2415,48,0,1
80,41,5,10,4,1,4,0,1,0,2415,55,0,1
81,60,5,15,4,3,4,0,1,0,2415,80,0,1
82,31,1,14,4,1,4,0,1,0,2415,70,6,1
83,58,4,10,4,10,4,0,1,0,2415,40,0,1
84,37,5,13,4,9,4,0,1,0,2415,50,0,1
85,44,4,13,4,1,4,0,1,0,2415,50,0,1
86,39,4,15,4,3,4,0,1,0,2415,50,1,1
87,43,3,15,4,3,4,2,1,0,2415,55,1,1
88,55,5,13,4,1,4,0,1,0,2415,50,0,1
89,44,5,14,4,3,4,0,1,0,2415,55,0,1
90,39,1,15,4,3,4,2,1,0,2415,67,7,1
91,46,4,13,4,9,4,0,1,0,2415,40,0,1
92,39,1,10,4,10,4,0,1,0,2415,99,0,1
93,62,5,13,4,10,4,0,1,0,2415,60,0,1
94,31,4,9,4,4,5,0,0,0,2415,40,0,1
95,46,1,13,4,5,4,2,1,0,2415,35,8,1
96,46,4,15,4,3,4,0,1,0,2415,80,0,1
97,39,5,11,4,6,4,0,1,0,2415,40,0,1
98,39,1,15,4,9,4,0,1,0,2415,99,0,1
99,59,1,16,4,3,4,0,1,0,2415,45,0,1
100,50,5,15,4,3,4,0,1,0,2415,60,0,1
101,46,1,16,4,3,4,0,1,0,2415,55,0,1
102,53,4,13,4,1,4,0,1,0,2415,40,0,1
103,50,4,15,4,3,4,0,1,0,2415,30,0,1
104,41,5,15,4,1,5,0,0,0,2415,55,0,1
105,36,1,13,4,9,4,0,1,0,2415,45,0,1
106,38,1,15,4,3,4,0,1,0,2415,90,0,1
107,54,1,10,4,9,4,0,1,0,2415,50,0,1
108,50,1,13,4,1,5,0,0,0,2415,20,0,1
109,47,1,13,4,1,4,0,1,0,2415,60,0,1
110,47,5,15,4,3,4,0,1,0,2415,45,0,1
111,67,1,13,0,1,0,0,1,0,2392,40,0,1
112,67,5,13,4,1,4,0,1,0,2392,75,0,1
113,72,4,16,4,3,4,0,1,0,2392,25,0,1
114,72,0,16,4,0,4,0,1,0,2392,6,0,1
115,46,5,14,4,1,4,0,1,0,2392,50,0,1
116,78,5,13,4,1,4,0,1,0,2392,40,0,1
117,71,5,13,4,1,4,0,1,0,2392,60,0,1
118,83,5,13,4,1,4,0,1,0,2392,55,0,1
119,68,1,14,4,1,4,0,1,0,2392,40,0,1
120,26,1,11,4,5,4,0,1,0,2377,45,0,0
121,68,2,16,4,3,4,0,1,0,2377,60,0,1
122,49,5,9,4,5,5,0,0,0,2377,40,0,1
123,36,1,9,4,3,4,0,1,0,2377,60,0,0
124,70,4,13,4,6,4,0,1,0,2377,12,0,1
125,27,1,10,4,5,5,1,0,0,2377,20,0,0
126,35,6,10,4,1,4,0,1,0,2377,40,0,0
127,23,1,9,4,9,4,0,1,0,2377,40,0,0
128,81,1,9,4,1,4,0,1,0,2377,26,0,1
129,66,4,16,4,9,4,0,1,0,2377,25,0,1
130,71,1,9,4,1,4,0,1,0,2377,45,0,1
131,68,1,10,4,9,4,0,1,0,2377,55,0,1
132,68,2,14,4,3,4,0,1,0,2377,42,1,1
133,65,0,13,4,0,4,0,1,0,2377,40,0,1
134,52,1,9,4,9,4,1,1,0,2377,40,0,0
135,40,5,12,4,6,4,0,1,0,2377,50,0,0
136,68,0,13,4,0,4,0,1,0,2377,35,0,1
137,21,1,10,4,1,4,0,1,0,2377,48,0,0
138,35,1,9,4,6,4,0,1,0,2377,40,0,0
139,70,5,13,4,1,4,0,1,0,2377,50,0,1
140,61,4,9,4,10,4,0,1,0,2352,50,0,0
141,65,5,9,4,10,4,0,1,0,2352,65,0,0
142,46,1,3,1,6,0,0,0,0,2339,45,0,0
143,26,6,13,3,3,0,0,1,0,2339,55,0,0
144,59,6,9,0,10,1,0,1,0,2339,40,0,0
145,61,1,3,3,8,0,1,1,0,2339,40,0,0
146,60,2,13,1,3,0,0,0,0,2339,40,0,0
147,49,5,10,1,1,0,0,1,0,2339,50,0,0
148,34,1,13,5,2,0,2,1,0,2339,40,1,0
149,25,1,13,3,3,2,0,0,0,2339,35,0,0
150,55,1,10,3,5,0,1,0,0,2339,45,1,0
151,59,6,9,2,12,3,1,0,0,2339,40,0,0
152,28,2,10,2,1,2,0,1,0,2339,40,0,0
153,43,0,11,0,0,0,0,0,0,2339,36,0,0
154,56,4,14,1,9,1,0,0,0,2339,60,0,0
155,41,1,9,1,6,0,0,1,0,2339,40,0,0
156,42,1,9,3,5,3,1,0,0,2339,40,9,0
157,28,1,15,3,3,0,0,1,0,2339,40,10,0
158,40,4,15,1,4,0,0,0,0,2339,35,0,0
159,69,1,13,0,3,0,0,1,0,2282,40,0,1
160,66,6,9,4,6,4,0,1,0,2267,40,0,0
161,69,1,3,4,2,4,0,1,0,2267,40,0,0
162,55,6,14,4,3,5,0,0,0,2267,40,0,0
163,57,3,9,3,5,0,0,1,0,2258,40,0,0
164,20,4,10,3,10,2,0,1,0,2258,10,0,0
165,33,1,9,1,6,0,0,1,0,2258,84,0,0
166,30,4,10,3,9,3,2,1,0,2258,40,11,0
167,40,1,13,3,11,0,2,0,0,2258,48,8,0
168,38,1,10,2,2,0,0,1,0,2258,55,0,1
169,46,2,12,1,5,1,0,1,0,2258,38,0,1
170,29,1,13,3,1,0,0,0,0,2258,45,0,1
171,57,3,13,3,5,0,0,1,0,2258,40,0,0
172,39,1,9,3,6,2,0,1,0,2258,42,0,1
173,47,1,13,1,1,0,0,1,0,2258,40,0,1
174,26,1,13,3,1,0,0,1,0,2258,45,0,1
175,27,4,9,3,6,0,0,1,0,2258,50,0,0
176,23,1,13,3,3,2,0,0,0,2258,40,0,1
177,34,1,14,3,3,0,0,1,0,2258,50,0,0
178,33,1,8,1,6,0,0,1,0,2258,42,0,0
179,38,6,14,3,3,0,0,0,0,2258,60,0,0
180,57,1,10,0,5,1,0,0,0,2258,38,0,1
181,36,1,9,3,1,0,0,1,0,2258,70,0,0
182,44,3,13,1,11,0,0,1,0,2258,40,0,1
183,49,2,16,3,1,0,0,0,0,2258,50,0,1
184,44,5,10,3,9,0,0,1,0,2258,60,0,0
185,55,1,10,0,10,0,0,1,0,2258,62,0,1
186,45,1,9,1,10,0,0,1,0,2258,44,0,1
187,48,1,9,1,1,0,0,0,0,2258,40,0,1
188,31,1,13,4,1,4,0,1,0,2246,45,0,1
189,55,6,9,4,3,3,0,0,0,2246,40,0,1
190,70,4,10,4,1,4,0,1,0,2246,40,0,1
191,70,4,14,4,1,4,0,1,0,2246,8,0,1
192,73,1,13,4,3,4,0,1,0,2246,40,0,1
193,72,4,15,4,3,4,0,1,0,2246,28,0,1
194,31,1,9,2,2,1,0,0,0,2238,40,0,0
195,28,1,6,0,5,1,0,0,0,2238,35,0,0
196,23,4,13,3,5,2,0,1,0,2231,40,0,1
197,49,6,5,0,8,1,0,1,0,2231,40,0,1
198,27,6,10,3,12,0,0,1,0,2231,40,0,1
199,90,1,9,3,4,0,1,1,0,2206,40,0,0
200,68,1,9,0,5,0,0,0,0,2206,30,0,0
201,65,1,9,1,5,1,0,0,0,2206,59,10,0
202,65,0,9,0,0,1,0,0,0,2206,10,0,0
203,67,1,13,1,1,0,0,0,0,2206,5,0,0
204,66,6,13,0,3,0,1,0,0,2206,25,0,0
205,24,1,10,3,5,0,0,1,0,2205,24,0,0
206,44,4,10,1,2,0,0,1,0,2205,35,0,0
207,35,1,10,3,5,2,0,0,0,2205,40,0,0
208,20,1,12,3,4,2,0,0,0,2205,18,0,0
209,38,1,9,1,6,0,0,1,0,2205,40,0,0
210,39,1,10,3,4,2,1,0,0,2205,40,0,0
211,32,1,10,3,2,3,0,0,0,2205,40,12,0
212,42,1,4,3,8,0,1,1,0,2205,40,0,0
213,63,0,9,1,0,0,0,0,0,2205,40,0,0
214,42,5,14,1,1,1,2,1,0,2201,60,7,1
215,64,1,7,4,6,4,0,1,0,2179,40,0,0
216,28,1,4,4,8,4,3,1,0,2179,40,13,0
217,41,5,11,4,9,4,3,1,0,2179,84,2,0
218,41,4,4,4,6,4,0,1,0,2179,40,0,0
219,58,4,2,4,7,4,0,1,0,2179,18,0,0
220,59,2,10,4,1,4,0,1,0,2179,40,0,0
221,34,4,9,4,10,5,0,0,0,2179,12,0,0
222,45,1,9,4,7,4,0,1,0,2179,45,0,0
223,29,1,9,4,5,5,0,0,0,2179,40,0,0
224,47,1,6,4,9,4,0,1,0,2179,52,0,0
225,40,1,10,4,2,4,0,1,0,2179,40,0,0
226,47,4,3,4,9,4,0,1,0,2179,50,2,0
227,63,0,13,4,0,4,0,1,0,2179,45,0,0
228,41,4,9,4,8,4,0,1,0,2179,40,0,0
229,34,1,10,4,7,4,1,1,0,2179,40,0,0
230,66,0,13,4,0,4,0,1,0,2174,40,0,1
231,65,4,10,4,1,4,0,1,0,2174,10,0,1
232,70,1,9,4,8,4,0,1,0,2174,40,0,1
233,75,4,15,4,3,4,0,1,0,2174,50,0,1
234,65,2,9,4,5,4,0,1,0,2174,40,0,1
235,65,3,10,4,1,4,1,1,0,2174,40,0,1
236,73,1,10,4,3,4,0,1,0,2174,50,0,1
237,60,0,13,4,0,4,2,1,0,2163,25,11,0
238,68,4,11,4,3,4,0,1,0,2149,40,0,0
239,74,4,9,4,9,4,0,1,0,2149,20,0,0
240,43,1,3,4,2,5,2,0,0,2129,72,1,0
241,19,4,7,4,6,2,0,1,0,2129,55,0,0
242,37,4,9,4,6,4,0,1,0,2129,40,0,0
243,45,3,12,1,5,1,2,1,0,2080,40,8,0
244,64,1,14,4,3,4,2,1,0,2057,60,5,0
245,30,1,9,4,7,4,0,1,0,2057,40,0,0
246,51,4,10,4,3,5,0,0,0,2057,60,10,0
247,35,1,7,4,6,4,0,1,0,2057,40,0,0
248,29,1,9,4,5,5,0,0,0,2057,20,0,0
249,34,1,10,4,5,5,0,0,0,2057,40,0,0
250,41,1,9,4,6,4,0,1,0,2051,60,0,0
251,35,1,10,4,6,4,0,1,0,2051,45,0,0
252,26,1,10,4,5,4,0,1,0,2051,40,0,0
253,54,1,9,4,7,4,0,1,0,2051,50,0,0
254,52,6,9,4,6,4,0,1,0,2051,40,0,0
255,50,4,9,4,10,4,0,1,0,2051,20,0,0
256,31,1,10,4,5,4,0,1,0,2051,40,0,0
257,38,3,9,4,7,4,0,1,0,2051,40,0,0
258,30,1,10,4,6,4,0,1,0,2051,40,0,0
259,34,6,13,4,3,4,0,1,0,2051,40,0,0
260,31,1,10,4,9,4,0,1,0,2051,57,0,0
261,52,1,9,4,2,4,0,1,0,2051,38,0,0
262,54,1,9,4,6,4,0,1,0,2051,40,0,0
263,38,1,9,4,6,4,0,1,0,2051,44,0,0
264,39,1,9,4,2,4,0,1,0,2051,40,0,0
265,29,1,11,4,11,4,0,1,0,2051,40,0,0
266,45,1,9,4,6,4,0,1,0,2051,40,0,0
267,34,1,9,4,7,4,0,1,0,2051,55,0,0
268,38,1,9,4,6,4,0,1,0,2051,40,14,0
269,39,1,6,4,6,4,0,1,0,2051,40,0,0
270,61,1,9,4,6,4,0,1,0,2051,20,0,0
271,43,1,7,4,7,4,0,1,0,2042,40,0,0
272,35,1,10,4,8,4,0,1,0,2042,40,0,0
273,46,1,10,4,9,4,0,1,0,2042,50,0,0
274,38,1,9,4,8,4,0,1,0,2042,40,0,0
275,42,4,9,4,6,4,0,1,0,2042,48,0,0
276,34,1,12,4,11,4,0,1,0,2042,10,0,0
277,29,1,4,4,10,4,0,1,0,2042,40,0,0
278,32,1,7,4,6,4,0,1,0,2042,30,0,0
279,60,1,9,4,12,4,0,1,0,2042,34,0,0
280,49,6,9,4,6,4,0,1,0,2002,40,0,0
281,53,6,9,4,4,4,0,1,0,2002,45,0,0
282,56,1,4,4,8,4,0,1,0,2002,40,0,0
283,48,1,7,4,7,4,0,1,0,2002,40,0,0
284,32,3,13,4,3,4,2,1,0,2002,40,15,0
285,42,4,9,4,6,4,0,1,0,2002,40,0,0
286,32,1,12,4,3,4,0,1,0,2002,42,0,0
287,28,6,12,4,12,4,0,1,0,2002,40,16,0
288,26,1,11,4,6,4,0,1,0,2002,40,0,0
289,59,1,13,4,1,4,0,1,0,2002,50,0,0
290,47,4,13,4,3,4,0,1,0,2002,30,0,0
291,26,0,13,4,0,4,0,1,0,2002,40,0,0
292,41,1,9,4,6,4,0,1,0,2002,60,0,0
293,36,1,9,4,6,2,0,0,0,2002,40,0,0
294,45,1,13,4,9,4,0,1,0,2002,55,0,0
295,30,1,12,4,3,4,0,1,0,2002,40,0,0
296,36,1,9,4,7,4,0,1,0,2002,40,0,0
297,34,5,9,4,1,4,0,1,0,2002,40,0,0
298,53,1,9,4,7,4,0,1,0,2002,40,0,0
299,51,1,9,4,9,4,0,1,0,2002,45,0,0
300,47,4,16,4,7,4,0,1,0,2002,45,0,0
301,19,0,9,3,0,1,0,1,0,2001,40,0,0
302,30,1,9,3,5,1,0,1,0,2001,42,0,0
303,20,1,9,3,4,1,0,1,0,2001,40,0,0
304,42,3,14,1,5,0,0,1,0,2001,60,0,0
305,31,1,7,3,6,0,0,1,0,2001,40,0,0
306,33,1,13,3,8,0,0,1,0,2001,40,0,0
307,25,1,12,3,11,0,0,0,0,2001,30,0,0
308,20,1,9,3,4,0,0,1,0,2001,40,0,0
309,23,1,9,3,5,2,1,1,0,2001,40,0,0
310,55,0,9,2,0,0,1,0,0,2001,40,0,0
311,41,4,10,1,6,0,0,1,0,2001,50,0,0
312,54,4,9,0,6,0,0,1,0,2001,35,0,0
313,25,1,9,3,6,0,0,1,0,2001,50,0,0
314,19,1,10,3,5,2,0,0,0,2001,40,0,0
315,24,1,9,3,5,0,0,0,0,2001,37,0,0
316,56,3,13,3,7,0,1,1,0,2001,65,0,0
317,21,6,10,3,4,0,0,0,0,2001,40,0,0
318,34,1,9,3,2,0,1,1,0,2001,40,0,0
319,19,1,9,3,5,2,0,1,0,2001,40,0,0
320,21,0,10,3,0,0,0,1,0,2001,45,0,0
321,48,1,9,2,5,0,0,0,0,2001,40,0,0
322,34,1,13,3,4,0,0,1,0,2001,40,0,0
323,31,1,9,3,10,0,0,1,0,2001,40,0,0
324,36,1,9,3,4,0,1,0,0,2001,40,0,0
325,27,1,9,3,4,0,0,1,0,1980,40,0,0
326,27,1,10,3,6,2,2,1,0,1980,40,8,0
327,35,1,13,1,9,0,0,0,0,1980,65,0,0
328,31,4,13,5,1,0,0,1,0,1980,60,0,0
329,27,3,9,3,6,0,1,1,0,1980,40,0,0
330,28,6,12,3,5,0,0,0,0,1980,40,0,0
331,42,1,9,1,7,0,0,1,0,1980,46,0,0
332,44,1,10,2,1,0,0,1,0,1980,45,16,0
333,41,1,13,1,9,0,0,1,0,1980,56,0,0
334,28,1,13,3,11,0,0,0,0,1980,35,0,0
335,41,3,9,3,5,0,0,0,0,1980,40,0,0
336,35,1,6,0,4,0,1,0,0,1980,40,0,0
337,58,1,14,1,5,0,0,0,0,1980,45,0,0
338,40,1,9,1,2,0,0,1,0,1980,48,0,0
339,31,1,11,3,7,2,0,1,0,1980,60,0,0
340,30,1,9,3,9,0,0,0,0,1980,40,0,0
341,32,1,10,2,11,0,4,1,0,1980,40,0,0
342,25,1,10,3,5,0,0,1,0,1980,40,0,0
343,34,1,9,3,7,2,0,1,0,1980,40,0,0
344,56,1,10,1,1,0,0,0,0,1980,40,0,0
345,45,1,9,1,4,0,0,1,0,1980,40,0,0
346,50,1,9,3,5,0,0,1,0,1980,40,0,0
347,27,1,6,3,9,3,0,1,0,1980,40,0,0
348,51,1,10,4,9,4,0,1,0,1977,40,0,1
349,40,1,12,4,11,4,0,1,0,1977,60,0,1
350,41,1,14,4,1,4,0,1,0,1977,65,0,1
351,49,1,14,4,1,4,0,1,0,1977,45,0,1
352,37,1,11,4,6,4,0,1,0,1977,40,0,1
353,36,5,13,4,1,5,0,0,0,1977,45,0,1
354,35,1,15,4,3,4,0,1,0,1977,80,0,1
355,29,5,9,4,9,5,0,0,0,1977,25,0,1
356,50,1,13,4,3,5,0,0,0,1977,40,0,1
357,46,1,13,4,9,4,0,1,0,1977,40,0,1
358,44,4,9,4,1,4,0,1,0,1977,45,0,1
359,42,6,14,4,1,4,0,1,0,1977,40,0,1
360,38,3,15,4,3,4,0,1,0,1977,50,0,1
361,45,1,13,4,1,4,0,1,0,1977,55,0,1
362,43,6,14,4,1,4,0,1,0,1977,60,0,1
363,47,5,15,4,3,4,0,1,0,1977,60,0,1
364,58,5,15,4,3,4,0,1,0,1977,50,0,1
365,48,1,15,4,11,4,0,1,0,1977,40,0,1
366,42,6,13,4,1,4,0,1,0,1977,48,0,1
367,55,1,14,4,1,4,0,1,0,1977,50,0,1
368,51,1,6,4,9,4,0,1,0,1977,40,0,1
369,32,1,14,4,1,4,1,1,0,1977,40,0,1
370,45,6,13,4,1,4,0,1,0,1977,50,0,1
371,56,1,14,4,6,4,0,1,0,1977,44,0,1
372,38,1,14,4,1,4,0,1,0,1977,60,0,1
373,45,1,11,4,9,4,0,1,0,1977,50,0,1
374,49,1,14,4,3,5,0,0,0,1977,40,0,1
375,36,1,9,4,3,4,0,1,0,1977,40,0,1
376,49,1,14,4,1,4,0,1,0,1977,40,0,1
377,30,1,16,4,3,4,2,1,0,1977,40,5,1
378,42,5,15,4,3,4,0,1,0,1977,50,0,1
379,55,1,14,4,1,4,0,1,0,1977,40,0,1
380,34,1,13,4,1,4,0,1,0,1977,45,0,1
381,54,1,16,4,3,4,0,1,0,1977,50,0,1
382,42,4,13,4,1,4,0,1,0,1977,70,0,1
383,25,6,13,4,3,4,0,1,0,1977,40,0,1
384,55,5,9,4,1,4,0,1,0,1977,45,0,1
385,58,2,14,4,3,4,0,1,0,1977,50,0,1
386,62,1,9,4,7,4,0,1,0,1977,60,0,1
387,43,5,15,4,3,4,0,1,0,1977,40,0,1
388,57,6,14,4,3,5,1,0,0,1977,40,0,1
389,42,5,16,4,3,4,0,1,0,1977,60,0,1
390,63,4,13,4,3,4,2,1,0,1977,32,5,1
391,47,4,15,4,3,4,0,1,0,1977,50,0,1
392,37,1,13,4,1,4,0,1,0,1977,50,0,1
393,40,1,13,4,9,4,0,1,0,1977,60,0,1
394,43,1,13,4,3,4,0,1,0,1977,50,0,1
395,43,2,15,4,3,4,0,1,0,1977,70,0,1
396,41,4,15,4,3,4,0,1,0,1977,60,0,1
397,32,1,15,4,3,4,0,1,0,1977,60,0,1
398,47,1,13,4,9,4,0,1,0,1977,40,0,1
399,39,3,10,4,8,4,0,1,0,1977,60,0,1
400,53,1,10,4,1,4,0,1,0,1977,40,0,1
401,34,1,13,4,1,4,0,1,0,1977,45,0,1
402,36,1,13,4,1,4,0,1,0,1977,40,0,1
403,47,6,14,4,1,4,0,1,0,1977,41,0,1
404,52,1,11,4,1,4,0,1,0,1977,45,0,1
405,40,4,15,4,3,4,4,1,0,1977,60,0,1
406,42,5,13,4,3,4,0,1,0,1977,40,0,1
407,51,1,14,4,12,4,0,1,0,1977,40,0,1
408,55,1,14,4,11,4,0,1,0,1977,20,0,1
409,38,1,9,4,9,4,0,1,0,1977,99,0,1
410,52,1,10,4,1,4,0,1,0,1977,50,0,1
411,60,3,9,4,11,4,0,1,0,1977,40,0,1
412,55,1,11,4,3,4,0,1,0,1977,50,17,1
413,47,6,14,4,1,4,1,1,0,1977,50,0,1
414,46,1,14,4,11,4,0,1,0,1977,40,0,1
415,35,1,14,4,3,4,0,1,0,1977,45,0,1
416,59,5,13,4,1,4,0,1,0,1977,50,0,1
417,57,1,14,4,3,4,0,1,0,1977,45,0,1
418,46,1,10,4,3,4,0,1,0,1977,50,0,1
419,46,3,14,4,1,4,0,1,0,1977,40,0,1
420,52,1,9,4,6,4,0,1,0,1977,40,0,1
421,45,1,16,4,3,5,0,0,0,1977,30,0,1
422,37,1,13,4,11,4,0,1,0,1977,40,0,1
423,46,1,14,4,1,4,0,1,0,1977,45,0,1
424,44,1,13,4,3,4,1,1,0,1977,50,0,1
425,45,1,11,4,1,4,0,1,0,1977,50,0,1
426,43,1,9,4,2,4,0,1,0,1977,52,0,1
427,54,6,14,4,3,4,0,1,0,1977,40,0,1
428,50,1,14,4,3,4,0,1,0,1977,40,0,1
429,51,1,13,4,1,4,0,1,0,1977,60,1,1
430,45,1,13,4,3,4,0,1,0,1977,40,0,1
431,36,1,14,4,3,4,0,1,0,1977,60,0,1
432,27,1,13,4,1,4,0,1,0,1977,50,0,1
433,36,1,13,4,9,4,0,1,0,1977,35,0,1
434,53,1,14,4,1,4,0,1,0,1977,55,0,1
435,51,6,14,4,3,4,0,1,0,1977,35,0,1
436,28,1,13,4,3,5,0,0,0,1977,24,0,1
437,47,4,10,4,6,4,0,1,0,1977,40,0,1
438,45,1,13,4,1,4,0,1,0,1977,60,0,1
439,45,6,14,4,3,5,0,0,0,1977,35,0,1
440,39,4,15,4,3,4,0,1,0,1977,50,0,1
441,39,1,13,4,1,4,0,1,0,1977,40,0,1
442,55,4,14,4,3,4,0,1,0,1977,40,0,1
443,62,1,10,4,1,4,0,1,0,1977,98,0,1
444,49,1,13,4,9,4,2,1,0,1977,50,11,1
445,53,4,14,4,1,4,0,1,0,1977,40,0,1
446,31,1,14,4,1,4,0,1,0,1977,48,0,1
447,42,5,9,4,1,4,0,1,0,1977,60,18,1
448,39,1,13,4,7,4,0,1,0,1977,45,8,1
449,60,4,13,4,1,4,0,1,0,1977,45,0,1
450,26,1,15,4,3,4,0,1,0,1977,40,0,1
451,37,1,14,4,1,4,0,1,0,1977,40,0,1
452,45,2,13,4,1,4,0,1,0,1977,60,0,1
453,37,1,12,4,9,4,0,1,0,1977,45,0,1
454,32,1,13,4,9,4,0,1,0,1977,45,0,1
455,39,5,9,4,1,4,0,1,0,1977,40,0,1
456,58,4,6,4,6,5,0,0,0,1977,35,1,1
457,45,1,14,4,1,4,0,1,0,1977,43,0,1
458,41,1,13,4,3,4,0,1,0,1977,45,0,1
459,36,4,9,4,10,4,0,1,0,1977,65,0,1
460,51,2,14,4,3,4,0,1,0,1977,60,0,1
461,39,1,10,4,1,4,0,1,0,1977,62,0,1
462,56,4,15,4,3,4,0,1,0,1977,50,0,1
463,53,3,9,4,5,4,1,1,0,1977,40,0,1
464,40,4,11,4,3,5,0,0,0,1977,15,0,1
465,57,1,14,4,1,4,1,1,0,1977,40,0,1
466,50,6,9,4,6,4,0,1,0,1977,35,0,1
467,34,1,15,4,3,4,0,1,0,1977,55,0,1
468,35,1,13,4,1,5,0,0,0,1977,30,0,1
469,30,4,9,4,3,4,0,1,0,1977,15,0,1
470,53,6,14,4,3,4,0,1,0,1977,55,0,1
471,31,2,16,4,3,4,0,1,0,1977,70,0,1
472,37,1,13,4,1,4,0,1,0,1977,60,0,1
473,34,1,13,4,9,4,0,1,0,1977,50,0,1
474,36,1,14,4,3,4,0,1,0,1977,50,0,1
475,40,1,13,4,1,4,0,1,0,1977,50,0,1
476,51,1,10,4,6,4,0,1,0,1977,60,0,1
477,33,1,9,4,9,4,0,1,0,1977,45,0,1
478,40,1,16,4,3,5,0,0,0,1977,20,0,1
